"","Plot_ID","AOS_year","AOS_pest","AOS_severity","Burn_status","dNBR_count","dNBR_mean","dNBR_median","dNBR_min","dNBR_max","dNBR_range","Fire_ID","Fire_Name","CBI_A","CBI_B","CBI_C","CBC_D","CBI_US","CBI_OS","CBI_TOT","Elevation","Aspect","Slope_.","UTM_Zone","Sam_SPEC_CD_1","Sam_SPEC_PCT_1","Sam_SPEC_CD_2","Sam_SPEC_PCT_2","Sam_SPEC_CD_3","Sam_SPEC_PCT_3","satellite","PLI_PC","SX_PC","BL_PC","FDI_PC","SB_PC","SE_PC","AT_PC","ACT_PC","conifer_PC","broadleaf_PC","CBI_dNBR_VRI_March2021_csv_new_test","CBI_dNBR_VRI_March2021_csv_AOS_YEAR","CBI_dNBR_VRI_March2021_csv_AOS_FHF","CBI_dNBR_VRI_March2021_csv_AOS_SEV","BUFF_DIST","FEATURE_ID","MAP_ID","POLYGON_ID","OPENING_IND","POLYGON_AREA","SURFACE_EXPRESSION","MODIFYING_PROCESS","SITE_POSITION_MESO","SOIL_NUTRIENT_REGIME","BCLCS_LEVEL_2","BCLCS_LEVEL_3","BCLCS_LEVEL_4","BCLCS_LEVEL_5","REFERENCE_YEAR","ATTRIBUTION_BASE_DATE","PROJECTED_DATE","SHRUB_HEIGHT","SHRUB_CROWN_CLOSURE","SHRUB_COVER_PATTERN","HERB_COVER_TYPE","HERB_COVER_PATTERN","HERB_COVER_PCT","BRYOID_COVER_PCT","NON_VEG_COVER_PATTERN_1","NON_VEG_COVER_PCT_1","NON_VEG_COVER_TYPE_1","NON_VEG_COVER_PATTERN_2","NON_VEG_COVER_PCT_2","NON_VEG_COVER_TYPE_2","NON_VEG_COVER_PATTERN_3","NON_VEG_COVER_PCT_3","NON_VEG_COVER_TYPE_3","NON_VEG_COVER_SUM","LAND_COVER_CLASS_CD_1","EST_COVERAGE_PCT_1","SOIL_MOISTURE_REGIME_1","LAND_COVER_CLASS_CD_2","EST_COVERAGE_PCT_2","SOIL_MOISTURE_REGIME_2","LAND_COVER_CLASS_CD_3","EST_COVERAGE_PCT_3","SOIL_MOISTURE_REGIME_3","ORG_UNIT_CODE","BEC_ZONE_CODE","BEC_SUBZONE","BEC_VARIANT","BEC_PHASE","EARLIEST_NONLOGGING_DIST_TYPE","EARLIEST_NONLOGGING_DIST_DATE","STAND_PERCENTAGE_DEAD","FREE_TO_GROW_IND","HARVEST_DATE","QUAD_DIAM_125","EST_SITE_INDEX_SPECIES_CD","EST_SITE_INDEX","CROWN_CLOSURE","CROWN_CLOSURE_CLASS_CD","SITE_INDEX","BASAL_AREA","VRI_LIVE_STEMS_PER_HA","VRI_DEAD_STEMS_PER_HA","TREE_COVER_PATTERN","VERTICAL_COMPLEXITY","SPECIES_CD_1","SPECIES_PCT_1","SPECIES_CD_2","SPECIES_PCT_2","SPECIES_CD_3","SPECIES_PCT_3","SPECIES_CD_4","SPECIES_PCT_4","SPECIES_CD_5","SPECIES_PCT_5","SPECIES_CD_6","SPECIES_PCT_6","PROJ_AGE_1","PROJ_AGE_CLASS_CD_1","PROJ_AGE_2","PROJ_AGE_CLASS_CD_2","PROJ_HEIGHT_1","PROJ_HEIGHT_CLASS_CD_1","PROJ_HEIGHT_2","PROJ_HEIGHT_CLASS_CD_2","LIVE_VOL_PER_HA_SPP1_125","LIVE_VOL_PER_HA_SPP2_125","LIVE_VOL_PER_HA_SPP3_125","LIVE_VOL_PER_HA_SPP4_125","LIVE_STAND_VOLUME_125","DEAD_STAND_VOLUME_125","WHOLE_STEM_BIOMASS_PER_HA","BRANCH_BIOMASS_PER_HA","FOLIAGE_BIOMASS_PER_HA","BARK_BIOMASS_PER_HA","UTM_E","UTM_N","OPENING_ID","OPENING_ST","APPROVE_DA","DISTURBANC","DISTURBA_1","DENUDATION","DENUDATI_1","DENUDATI_2","DENUDATI_3","DENUDATI_4","DENUDATI_5","DENUDATI_6","DENUDATI_7","DENUDATI_8","DENUDATI_9","DENUDAT_10","SITE_PREP_","SITE_PREP1","SITE_PRE_1","SITE_PRE_2","SITE_PRE_3","SITE_PRE_4","SITE_PRE_5","PLANTING_1","PLANTING_2","PLANTING_3","PLANTING_4","PLANTING_5","PLANTING_6","PLANTING_C","BRUSHING_T","BRUSHING_1","BRUSHING_C","BRUSHING_2","SPACING_TR","SPACING_CO","SPACING__1","FERTILIZAT","FERTILIZ_1","FERTILIZ_2","PRUNING_TR","PRUNING_CO","PRUNING__1","SLOPE","ASPECT","coords.x1","coords.x2","optional"
"113","BS080",NA,"","","High",6,0.601232092,0.601761162,0.552528143,0.638013601,0.085485458,"R11498","Shovel",2.67,2.13,1.25,2,1.95,2,1.97,970.998413,"90","10",10,"PLI",50,"SX",40,"BL",10,"Sentinel 2",50,40,0,10,0,0,0,0,100,0,100,NA,"","",30,13527668,"093K027",9045056,"Y",60.9,"N","N","M","C","T","U","TC","OP",2012,2016-02-03,2016-01-01,0.5,15,9,"HE",9,15,NA,2,2,"RZ",NA,NA,"",NA,NA,"",2,"TC",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"",NA,NA,"Y",1972-01-01,19.394,"",NA,60,6,20.4,28.430191,1300,25,8,2,"PLI",50,"SX",40,"BL",10,"",NA,NA,NA,NA,NA,40,2,40,2,16.4,2,16.3,2,74.506,41.648,10.029,NA,126.183,NA,69.935,10.64,7.858,7.454,394143,6013143,-621790000,"FG",1998-05-25,1972-01-01,1976-01-01,"L",NA,NA,NA,1976-01-01,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,1,0,NA,0,8.1,32.8,1089367.029275,1028970.45415018,TRUE
"114","BS081",2006,"IBM","M","Medium",7,0.065164597,0.060051311,0.02835387,0.146008462,0.117654592,"R11498","Shovel",2.2,2.38,2.13,2.4,2.23,2.4,2.28,915.863403,"0","22",10,"PLI",90,"AT",5,"SX",5,"Sentinel 2",90,5,0,0,0,0,5,0,95,5,100,2006,"IBM","M",30,13954979,"093K027",45563122,"N",33,"U","N","M","C","T","U","TC","OP",2012,2016-02-01,2016-01-01,0.5,25,9,"HE",3,5,NA,2,2,"RZ",1,2,"LA",NA,NA,"",4,"TC",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"",NA,NA,"N",NA,17.743,"",NA,40,4,12,30.557461,1459,500,8,3,"PLI",90,"AT",5,"SX",5,"",NA,NA,NA,NA,NA,84,5,84,5,15.4,2,15.4,2,113.791,4.465,4.921,NA,123.177,NA,75.79,8.874,7.202,8.049,382959,6009792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078363.09999772,1025137.60605137,TRUE
"115","BS082",2006,"IBM","L","High",5,0.229095212,0.232612744,0.172279537,0.311406344,0.139126807,"R11498","Shovel",2.2,2,1.75,1.9,2,1.9,1.97,850.781799,"181","2",10,"SX",80,"PLI",15,"SB",5,"Sentinel 2",15,80,0,0,5,0,0,0,100,0,100,2006,"IBM","L",30,13220693,"093K026",33311654,"N",20.8,"N","N","M","C","T","U","TC","SP",2015,2016-01-26,2016-01-01,0.5,15,9,"HE",9,25,NA,2,2,"RZ",NA,NA,"",NA,NA,"",2,"TC",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","dw",3,NA,"IBM",2015-01-01,30,"N",NA,22.563,"",NA,15,1,12,22.961611,665,256,8,3,"SX",80,"PLI",15,"SB",5,"",NA,NA,NA,NA,NA,139,7,93,5,24.4,3,19.8,3,107.558,21.655,6.722,NA,135.935,58.991,64.81,11.841,6.713,7.031,381058,6007779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1076553.94920557,1023039.72185722,TRUE
"116","BS082",2006,"IBM","L","High",5,0.229095212,0.232612744,0.172279537,0.311406344,0.139126807,"R11498","Shovel",2.2,2,1.75,1.9,2,1.9,1.97,850.781799,"181","2",10,"SX",80,"PLI",15,"SB",5,"Sentinel 2",15,80,0,0,5,0,0,0,100,0,100,2006,"IBM","L",30,13221313,"093K026",33581773,"N",2.1,"N","N","M","C","T","U","TB","OP",2012,2016-01-19,2016-01-01,1,10,9,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TB",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","dw",3,NA,"",NA,NA,"N",NA,27.875,"",NA,55,5,17.1,35.923759,579,25,8,3,"AT",95,"SX",5,"",NA,"",NA,NA,NA,NA,NA,114,6,149,8,25.4,3,31.4,4,171.556,17.759,NA,NA,189.315,NA,149.311,25.792,5.76,31.917,381058,6007779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1076553.94920557,1023039.72185722,TRUE
"117","BS083",2006,"IBM","M","Medium",7,0.039266942,0.034120739,-0.123901039,0.264023155,0.387924194,"R11498","Shovel",0.4,1.5,0,0.3,0.62,0.3,0.53,907.456421,"flat","0",10,"AT",90,"SX",5,"PLI",5,"Sentinel 2",5,5,0,0,0,0,90,0,10,90,100,2006,"IBM","M",30,13157642,"093K017",46900694,"N",2.3,"N","N","M","C","T","U","TB","OP",2012,2015-10-25,2016-01-01,2,15,3,"",NA,NA,NA,2,2,"RZ",NA,NA,"",NA,NA,"",2,"TB",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","dw",3,NA,"",NA,NA,"N",NA,33.886,"",NA,60,6,16.3,55.000008,600,20,9,3,"AT",90,"SX",5,"PLI",5,"",NA,NA,NA,NA,NA,94,5,94,5,22.5,3,20.8,3,233.531,17.051,20.815,NA,271.397,NA,188.051,31.788,7.76,39.186,383216,6005761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078790.18074065,1021109.16182892,TRUE
"118","BS084",2006,"IBM","L","High",8,0.484405525,0.480666906,0.40079698,0.563806057,0.163009077,"R11498","Shovel",2.5,2.38,2.38,2.4,2.42,2.4,2.41,922.506836,"280","5",10,"PLI",75,"SX",20,"SB",5,"Sentinel 2",75,20,0,0,5,0,0,0,100,0,100,2006,"IBM","L",30,13526067,"093K016",35261328,"N",35.1,"U","N","M","C","T","U","TC","SP",2012,2015-10-01,2016-01-01,1,30,8,"HE",3,15,NA,2,3,"RZ",NA,NA,"",NA,NA,"",3,"TC",100,3,"",NA,NA,NA,NA,NA,"DVA","SBS","dw",3,NA,"IBM",2005-01-01,40,"N",NA,25.178,"",NA,25,2,13,15.25132,291,200,8,4,"PLI",75,"SX",20,"SB",5,"",NA,NA,NA,NA,NA,74,4,74,4,15.5,2,17,2,54.626,14.037,3.509,NA,72.172,64.354,35.63,4.617,3.548,3.627,381953,6007187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1077471.00644798,1022484.49679087,TRUE
"119","BS085",2006,"IBM","L","High",7,0.221390037,0.200153738,0.133826733,0.314947546,0.181120813,"R11498","Shovel",2.3,2.63,1.5,2.7,2.15,2.7,2.31,957.105042,"290","15",10,"SX",40.09999847,"PLI",39.90000153,"AT",10,"Sentinel 2",40,40,10,0,0,0,10,0,90,10,100,2006,"IBM","L",30,13525067,"093K026",39921635,"N",14.1,"N","N","M","C","T","U","TC","OP",2012,2016-01-26,2016-01-01,1,30,8,"HE",3,10,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TC",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"",NA,NA,"N",NA,27.942,"",NA,35,3,9.5,30.058121,496,125,9,3,"SX",70,"PLI",25,"AT",5,"",NA,NA,NA,NA,NA,154,8,154,8,22.5,3,20.2,3,127.526,50.509,5.638,NA,183.673,NA,88.4,15.089,8.725,10.04,381957,6007530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1077460.44691841,1022828.37635134,TRUE
"120","BS085",2006,"IBM","L","High",7,0.221390037,0.200153738,0.133826733,0.314947546,0.181120813,"R11498","Shovel",2.3,2.63,1.5,2.7,2.15,2.7,2.31,957.105042,"290","15",10,"SX",40.09999847,"PLI",39.90000153,"AT",10,"Sentinel 2",40,40,10,0,0,0,10,0,90,10,100,2006,"IBM","L",30,13221376,"093K026",38601675,"N",5.7,"N","N","M","C","T","U","TC","OP",2012,2016-01-19,2016-01-01,0.5,15,9,"",NA,NA,NA,2,2,"RZ",NA,NA,"",NA,NA,"",2,"TC",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"",NA,NA,"N",NA,20.159,"",NA,50,5,15.6,16.4779,675,75,8,3,"SX",40.0999985,"PLI",39.9000015,"AT",10,"BL",10,NA,NA,NA,NA,74,4,74,4,18,2,17.6,2,34.028,40.714,6.379,6.449,87.57,NA,48.058,7.684,5.051,5.735,381957,6007530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1077460.44691841,1022828.37635134,TRUE
"121","BS086",2006,"IBM","M","High",7,0.193555937,0.18954803,0.080154531,0.30461511,0.224460579,"R11498","Shovel",2.38,2.5,2.88,0,2.58,0,1.82,912.690918,"170","11",10,"PLI",72,"SX",28,"",0,"Sentinel 2",72,28,0,0,0,0,0,0,100,0,100,2006,"IBM","M",30,13526801,"093K036",28578961,"Y",44.2,"N","N","M","C","T","U","TC","SP",2007,2015-10-29,2016-01-01,0.5,25,9,"HE",9,25,NA,2,2,"RZ",NA,NA,"",NA,NA,"",2,"TC",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"",NA,NA,"N",2007-01-01,NA,"PLI",18,10,1,18,0,1563,0,9,1,"PLI",72,"SX",28,"",NA,"",NA,NA,NA,NA,NA,10,1,10,1,2.3,1,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380929,6020044,1226975,"FG",2009-01-12,2007-01-01,2007-12-30,"L","CCRES",NA,"REMOV",2007-12-30,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,"PL",35.3,2007-05-02,"RO",5.6,2008-06-09,2,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,4.2,67.9,1075905.03417797,1035324.62669758,TRUE
"122","BS087",2006,"IBM","L","Medium",7,0.03814045,0.044826299,-0.013978213,0.089689702,0.103667915,"R11498","Shovel",1.88,2.63,2.25,1.9,2.25,1.9,2.15,973.657715,"72","10",10,"PLI",100,"",0,"",0,"Sentinel 2",100,0,0,0,0,0,0,0,100,0,100,2006,"IBM","L",30,13954529,"093K027",68637835,"Y",46.5,"N","N","M","C","T","U","TC","OP",2012,2016-02-09,2016-01-01,0.5,25,9,"HE",9,25,NA,2,2,"RZ",NA,NA,"",NA,NA,"",2,"TC",100,3,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"",NA,NA,"Y",1999-12-01,NA,"PLI",18,35,3,18,5,7040,0,9,1,"PLI",100,"",NA,"",NA,"",NA,NA,NA,NA,NA,14,1,NA,NA,3.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388056,6017728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083106.06049672,1033306.59970892,TRUE
"123","BS087",2006,"IBM","L","Medium",7,0.03814045,0.044826299,-0.013978213,0.089689702,0.103667915,"R11498","Shovel",1.88,2.63,2.25,1.9,2.25,1.9,2.15,973.657715,"72","10",10,"PLI",100,"",0,"",0,"Sentinel 2",100,0,0,0,0,0,0,0,100,0,100,2006,"IBM","L",30,13954545,"093K027",72567819,"N",5.3,"N","N","M","C","T","U","TC","SP",2012,2016-02-09,2016-01-01,1,10,9,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TC",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"IBM",2012-01-01,71,"N",NA,23.558,"",NA,15,1,16,9.982679,244,500,9,3,"PLI",70,"AT",20,"SB",5,"SX",5,NA,NA,NA,NA,139,7,94,5,24.2,3,23.5,3,55.106,7.766,3.312,3.312,69.496,189.842,39.879,5.161,3.429,4.956,388056,6017728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083106.06049672,1033306.59970892,TRUE
"124","BS087",2006,"IBM","L","Medium",7,0.03814045,0.044826299,-0.013978213,0.089689702,0.103667915,"R11498","Shovel",1.88,2.63,2.25,1.9,2.25,1.9,2.15,973.657715,"72","10",10,"PLI",100,"",0,"",0,"Sentinel 2",100,0,0,0,0,0,0,0,100,0,100,2006,"IBM","L",30,13954580,"093K027",70907743,"N",2.1,"N","U","M","C","T","U","TM","SP",2012,2016-02-09,2016-01-01,1,15,9,"HE",8,55,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TM",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"",NA,NA,"N",NA,26.308,"",NA,15,1,17.2,5.54448,158,25,3,4,"AT",70,"SX",20,"SB",10,"",NA,NA,NA,NA,NA,94,5,94,5,23.5,3,15.7,2,20.698,4.634,2.317,NA,27.649,NA,19.71,3.481,0.959,3.903,388056,6017728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083106.06049672,1033306.59970892,TRUE
"125","BS088",2007,"IBM","S","Low",7,-0.105535337,-0.103500187,-0.122034848,-0.07818079,0.043854058,"R11498","Shovel",0,0,0,0,0,0,0,1143.774902,"194","24",10,"PLI",95,"SX",5,"",0,"Sentinel 2",95,5,0,0,0,0,0,0,100,0,100,2007,"IBM","S",30,13512749,"093K026",86936824,"Y",43.3,"N","N","M","C","T","U","TC","OP",2012,2016-01-26,2016-01-01,0.5,10,4,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TC",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"",NA,NA,"Y",1976-08-31,16.043,"",NA,60,6,17.1,22.20616,1522,0,8,1,"PLI",95,"SX",5,"",NA,"",NA,NA,NA,NA,NA,40,2,40,2,13.2,2,13,2,59.687,2.958,NA,NA,62.645,NA,48.432,5.532,4.767,4.836,372913,6016699,-621540000,"FG",1976-09-01,1976-09-01,1976-09-01,"L","CLEAR",NA,NA,1976-09-01,NA,NA,NA,NA,NA,1,"ME",65,1985-10-01,NA,0,NA,1,"PL",13,1989-06-01,"PL",93,1986-06-01,2,"MA",57.8,1995-09-27,1,7.8,1998-02-09,1,0,NA,0,0,NA,0,6.7,287.6,1068058.4571242,1031632.07793945,TRUE
"126","BS089",NA,"","","Low",7,-0.026818241,-0.026574373,-0.052168667,-7.99e-06,0.05216068,"R11498","Shovel",0,0,0,0,0,0,0,1151.901855,"140","5",10,"PLI",80,"SX",10,"BL",10,"Sentinel 2",80,10,0,10,0,0,0,0,100,0,100,NA,"","",30,13221075,"093K026",99317214,"Y",2,"N","N","L","C","N","U","SL","DE",2012,2016-01-25,2016-01-01,1,65,8,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"SL",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"",NA,NA,"Y",1976-05-31,14.488,"",NA,5,0,18.6,6.33201,800,1,9,3,"SX",85,"BL",15,"",NA,"",NA,NA,NA,NA,NA,39,2,39,2,9.6,1,9.4,1,3.835,1.079,NA,NA,4.914,NA,8.331,1.731,1.066,0.963,375478,6017327,-621550000,"FG",1976-06-01,1976-06-01,1982-01-01,"L",NA,NA,NA,1982-01-01,NA,NA,NA,NA,NA,1,"ME",3.4,1992-05-01,NA,0,NA,1,"PL",6.1,1992-05-26,NA,0,NA,1,NA,0,NA,0,83.6,1996-10-15,1,0,NA,0,0,NA,0,7.4,155.4,1070588.00061786,1032370.37354181,TRUE
"127","BS089",NA,"","","Low",7,-0.026818241,-0.026574373,-0.052168667,-7.99e-06,0.05216068,"R11498","Shovel",0,0,0,0,0,0,0,1151.901855,"140","5",10,"PLI",80,"SX",10,"BL",10,"Sentinel 2",80,10,0,10,0,0,0,0,100,0,100,NA,"","",30,13527149,"093K026",96857232,"Y",87.3,"N","N","M","C","T","U","TC","OP",2008,2016-01-26,2016-01-01,0.5,15,4,"",NA,NA,NA,2,2,"RZ",NA,NA,"",NA,NA,"",2,"TC",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"",NA,NA,"Y",1976-05-31,15.269,"PLI",18,60,6,18,21.46121,2088,0,8,1,"PLI",80,"SX",10,"BL",10,"",NA,NA,NA,NA,NA,36,2,36,2,12.7,2,10,1,35.654,0,3.808,NA,39.462,NA,43.161,5.558,4.815,4.48,375478,6017327,-621550000,"FG",1976-06-01,1976-06-01,1982-01-01,"L",NA,NA,NA,1982-01-01,NA,NA,NA,NA,NA,1,"ME",3.4,1992-05-01,NA,0,NA,1,"PL",6.1,1992-05-26,NA,0,NA,1,NA,0,NA,0,83.6,1996-10-15,1,0,NA,0,0,NA,0,7.4,155.4,1070588.00061786,1032370.37354181,TRUE
"128","BS090",NA,"","","High",7,0.718663403,0.714547276,0.69389689,0.756549954,0.062653065,"R11498","Shovel",2.4,2.63,2.13,2.2,2.38,2.2,2.33,775.996338,"not recorded","not recorded",10,"PLI",80,"SX",10,"BL",10,"Sentinel 2",80,10,0,10,0,0,0,0,100,0,100,NA,"","",30,13527149,"093K026",96857232,"Y",87.3,"N","N","M","C","T","U","TC","OP",2008,2016-01-26,2016-01-01,0.5,15,4,"",NA,NA,NA,2,2,"RZ",NA,NA,"",NA,NA,"",2,"TC",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","mc",2,NA,"",NA,NA,"Y",1976-05-31,15.269,"PLI",18,60,6,18,21.46121,2088,0,8,1,"PLI",80,"SX",10,"BL",10,"",NA,NA,NA,NA,NA,36,2,36,2,12.7,2,10,1,35.654,0,3.808,NA,39.462,NA,43.161,5.558,4.815,4.48,375077,6017010,-621550000,"FG",1976-06-01,1976-06-01,1982-01-01,"L",NA,NA,NA,1982-01-01,NA,NA,NA,NA,NA,1,"ME",3.4,1992-05-01,NA,0,NA,1,"PL",6.1,1992-05-26,NA,0,NA,1,NA,0,NA,0,83.6,1996-10-15,1,0,NA,0,0,NA,0,7.4,155.4,1070201.82754824,1032035.68127938,TRUE
"129","BS091",2006,"IBM","S","High",7,-0.035974054,-0.034378394,-0.062232703,0.003318965,0.065551668,"R11498","Shovel",2,2.5,2.13,2.1,2.19,2.1,2.17,786.194763,"209","10",10,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","S",30,13165993,"093K017",44326502,"N",15.5,"N","N","M","C","T","U","TB","OP",2012,2015-10-23,2016-01-01,1,20,8,"HE",3,15,NA,2,5,"RZ",NA,NA,"",NA,NA,"",5,"TB",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","dw",3,NA,"",NA,NA,"N",NA,32.232,"",NA,55,5,15.8,50.000011,600,50,9,2,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,134,7,134,7,25.3,3,24.5,3,207.379,37.216,NA,NA,244.595,NA,196.564,34.122,8.017,41.34,382626,5988804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078920.8218847,1004092.12495122,TRUE
"130","BS092",2006,"IBM","S","Medium",7,-0.172333411,-0.166084126,-0.312043756,-0.084322989,0.227720767,"R11498","Shovel",1.8,2.5,1.5,0.4,1.92,0.4,1.5,905.608948,"not recorded","not recorded",10,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","S",30,13165993,"093K017",44326502,"N",15.5,"N","N","M","C","T","U","TB","OP",2012,2015-10-23,2016-01-01,1,20,8,"HE",3,15,NA,2,5,"RZ",NA,NA,"",NA,NA,"",5,"TB",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","dw",3,NA,"",NA,NA,"N",NA,32.232,"",NA,55,5,15.8,50.000011,600,50,9,2,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,134,7,134,7,25.3,3,24.5,3,207.379,37.216,NA,NA,244.595,NA,196.564,34.122,8.017,41.34,382512,5998935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078377.95687292,1014239.16461819,TRUE
"131","BS093",2006,"IBM","M","High",7,0.450929024,0.446056426,0.418504179,0.510223091,0.091718912,"R11498","Shovel",2.83,2.63,2.75,0,2.73,0,1.88,855.391174,"221","2",10,"PLI",70,"SX",30,"",0,"Sentinel 2",70,30,0,0,0,0,0,0,100,0,100,2006,"IBM","M",30,13952934,"093K016",74647726,"N",35,"N","N","M","C","T","U","TC","SP",2003,2015-10-15,2016-01-01,0.5,30,8,"HE",8,30,NA,2,4,"RZ",2,3,"ES",NA,NA,"",7,"TC",100,4,"",NA,NA,NA,NA,NA,"DVA","SBS","dw",3,NA,"",NA,NA,"Y",2001-01-01,NA,"PLI",18,20,2,18,0,1240,0,9,1,"PLI",70,"SX",30,"",NA,"",NA,NA,NA,NA,NA,14,1,14,1,3.9,1,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370728,6001438,101740,"FG",2001-07-10,2001-11-01,2002-08-01,"L","CCRES",NA,"REMOV",2002-08-01,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,"PL",33,2003-05-14,NA,0,NA,1,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,6.9,217.5,1066528.09933553,1016247.15274817,TRUE
